From	To	Species	Gene Name
1040	cds1	Homo sapiens	CDP-diacylglycerol synthase 1(CDS1)
79595	SAP130	Homo sapiens	Sin3A associated protein 130(SAP130)
169200	TMEM64	Homo sapiens	transmembrane protein 64(TMEM64)
79594	MUL1	Homo sapiens	mitochondrial E3 ubiquitin protein ligase 1(MUL1)
79596	rnf219	Homo sapiens	ring finger protein 219(RNF219)
79598	CEP97	Homo sapiens	centrosomal protein 97(CEP97)
1036	CDO1	Homo sapiens	cysteine dioxygenase type 1(CDO1)
145226	RDH12	Homo sapiens	retinol dehydrogenase 12 (all-trans/9-cis/11-cis)(RDH12)
3696	ITGB8	Homo sapiens	integrin subunit beta 8(ITGB8)
3699	ITIH3	Homo sapiens	inter-alpha-trypsin inhibitor heavy chain 3(ITIH3)
92558	BICDL1	Homo sapiens	BICD family like cargo adaptor 1(BICDL1)
1054	CEBPG	Homo sapiens	CCAAT/enhancer binding protein gamma(CEBPG)
1053	CEBPE	Homo sapiens	CCAAT/enhancer binding protein epsilon(CEBPE)
1052	CEBPD	Homo sapiens	CCAAT/enhancer binding protein delta(CEBPD)
1051	CEBPB	Homo sapiens	CCAAT/enhancer binding protein beta(CEBPB)
1050	CEBPA	Homo sapiens	CCAAT/enhancer binding protein alpha(CEBPA)
79581	SLC52A2	Homo sapiens	solute carrier family 52 member 2(SLC52A2)
79583	TMEM231	Homo sapiens	transmembrane protein 231(TMEM231)
79586	CHPF	Homo sapiens	chondroitin polymerizing factor(CHPF)
79585	CORO7	Homo sapiens	coronin 7(CORO7)
1048	CEACAM5	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 5(CEACAM5)
1047	CLGN	Homo sapiens	calmegin(CLGN)
79589	RNF128	Homo sapiens	ring finger protein 128, E3 ubiquitin protein ligase(RNF128)
1046	CDX4	Homo sapiens	caudal type homeobox 4(CDX4)
1045	CDX2	Homo sapiens	caudal type homeobox 2(CDX2)
50700	RDH8	Homo sapiens	retinol dehydrogenase 8 (all-trans)(RDH8)
59082	CARD18	Homo sapiens	caspase recruitment domain family member 18(CARD18)
1063	CENPF	Homo sapiens	centromere protein F(CENPF)
1062	CENPE	Homo sapiens	centromere protein E(CENPE)
59084	ENPP5	Homo sapiens	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)(ENPP5)
1060	CENPC	Homo sapiens	centromere protein C(CENPC)
11108	prdm4	Homo sapiens	PR/SET domain 4(PRDM4)
11107	PRDM5	Homo sapiens	PR/SET domain 5(PRDM5)
1058	CENPA	Homo sapiens	centromere protein A(CENPA)
1056	CEL	Homo sapiens	carboxyl ester lipase(CEL)
11100	HNRNPUL1	Homo sapiens	heterogeneous nuclear ribonucleoprotein U like 1(HNRNPUL1)
85378	TUBGCP6	Homo sapiens	tubulin gamma complex associated protein 6(TUBGCP6)
139411	PTCHD1	Homo sapiens	patched domain containing 1(PTCHD1)
11101	ATE1	Homo sapiens	arginyltransferase 1(ATE1)
255738	PCSK9	Homo sapiens	proprotein convertase subtilisin/kexin type 9(PCSK9)
11105	PRDM7	Homo sapiens	PR/SET domain 7(PRDM7)
25759	SHC2	Homo sapiens	SHC adaptor protein 2(SHC2)
1073	CFL2	Homo sapiens	cofilin 2(CFL2)
1072	CFL1	Homo sapiens	cofilin 1(CFL1)
1071	CETP	Homo sapiens	cholesteryl ester transfer protein(CETP)
1070	CETN3	Homo sapiens	centrin 3(CETN3)
11119	BTN3A1	Homo sapiens	butyrophilin subfamily 3 member A1(BTN3A1)
11118	BTN3A2	Homo sapiens	butyrophilin subfamily 3 member A2(BTN3A2)
255743	NPNT	Homo sapiens	nephronectin(NPNT)
1068	CETN1	Homo sapiens	centrin 1(CETN1)
85369	STRIP1	Homo sapiens	striatin interacting protein 1(STRIP1)
85366	MYLK2	Homo sapiens	myosin light chain kinase 2(MYLK2)
56829	ZC3HAV1	Homo sapiens	zinc finger CCCH-type containing, antiviral 1(ZC3HAV1)
85365	ALG2	Homo sapiens	ALG2, alpha-1,3/1,6-mannosyltransferase(ALG2)
11112	HIBADH	Homo sapiens	3-hydroxyisobutyrate dehydrogenase(HIBADH)
85363	TRIM5	Homo sapiens	tripartite motif containing 5(TRIM5)
85360	SYDE1	Homo sapiens	synapse defective Rho GTPase homolog 1(SYDE1)
11116	FGFR1OP	Homo sapiens	FGFR1 oncogene partner(FGFR1OP)
1080	CFTR	Homo sapiens	cystic fibrosis transmembrane conductance regulator(CFTR)
1088	ceacam8	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 8(CEACAM8)
115416	MALSU1	Homo sapiens	mitochondrial assembly of ribosomal large subunit 1(MALSU1)
1081	CGA	Homo sapiens	glycoprotein hormones, alpha polypeptide(CGA)
338557	FFAR4	Homo sapiens	free fatty acid receptor 4(FFAR4)
55502	HES6	Homo sapiens	hes family bHLH transcription factor 6(HES6)
55500	ETNK1	Homo sapiens	ethanolamine kinase 1(ETNK1)
84067	fam160a2	Homo sapiens	family with sequence similarity 160 member A2(FAM160A2)
55506	H2AFY2	Homo sapiens	H2A histone family member Y2(H2AFY2)
84069	PLEKHN1	Homo sapiens	pleckstrin homology domain containing N1(PLEKHN1)
55503	trpv6	Homo sapiens	transient receptor potential cation channel subfamily V member 6(TRPV6)
84063	KIRREL2	Homo sapiens	kin of IRRE like 2 (Drosophila)(KIRREL2)
56834	GPR137	Homo sapiens	G protein-coupled receptor 137(GPR137)
84062	DTNBP1	Homo sapiens	dystrobrevin binding protein 1(DTNBP1)
55509	BATF3	Homo sapiens	basic leucine zipper ATF-like transcription factor 3(BATF3)
84064	HDHD2	Homo sapiens	haloacid dehalogenase like hydrolase domain containing 2(HDHD2)
9810	RNF40	Homo sapiens	ring finger protein 40(RNF40)
9811	CTIF	Homo sapiens	cap binding complex dependent translation initiation factor(CTIF)
152404	igsf11	Homo sapiens	immunoglobulin superfamily member 11(IGSF11)
55512	SMPD3	Homo sapiens	sphingomyelin phosphodiesterase 3(SMPD3)
55511	SAGE1	Homo sapiens	sarcoma antigen 1(SAGE1)
84056	KATNAL1	Homo sapiens	katanin catalytic subunit A1 like 1(KATNAL1)
56849	Tceal7	Homo sapiens	transcription elongation factor A like 7(TCEAL7)
9804	TOMM20	Homo sapiens	translocase of outer mitochondrial membrane 20(TOMM20)
84058	WDR54	Homo sapiens	WD repeat domain 54(WDR54)
55515	ASIC4	Homo sapiens	acid sensing ion channel subunit family member 4(ASIC4)
9801	MRPL19	Homo sapiens	mitochondrial ribosomal protein L19(MRPL19)
84057	MND1	Homo sapiens	meiotic nuclear divisions 1(MND1)
284266	SIGLEC15	Homo sapiens	sialic acid binding Ig like lectin 15(SIGLEC15)
9807	IP6K1	Homo sapiens	inositol hexakisphosphate kinase 1(IP6K1)
9805	SCRN1	Homo sapiens	secernin 1(SCRN1)
9806	SPOCK2	Homo sapiens	SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2(SPOCK2)
84081	NSRP1	Homo sapiens	nuclear speckle splicing regulatory protein 1(NSRP1)
84083	ZRANB3	Homo sapiens	zinc finger RANBP2-type containing 3(ZRANB3)
441549	CDNF	Homo sapiens	cerebral dopamine neurotrophic factor(CDNF)
9820	CUL7	Homo sapiens	cullin 7(CUL7)
56852	RAD18	Homo sapiens	RAD18, E3 ubiquitin protein ligase(RAD18)
56853	CELF4	Homo sapiens	CUGBP, Elav-like family member 4(CELF4)
126129	CPT1C	Homo sapiens	carnitine palmitoyltransferase 1C(CPT1C)
55521	TRIM36	Homo sapiens	tripartite motif containing 36(TRIM36)
100820829	MYZAP	Homo sapiens	myocardial zonula adherens protein(MYZAP)
9815	GIT2	Homo sapiens	GIT ArfGAP 2(GIT2)
55526	DHTKD1	Homo sapiens	dehydrogenase E1 and transketolase domain containing 1(DHTKD1)
9812	KIAA0141	Homo sapiens	KIAA0141(KIAA0141)
84085	FBXO30	Homo sapiens	F-box protein 30(FBXO30)
9818	NUP58	Homo sapiens	nucleoporin 58(NUP58)
9816	URB2	Homo sapiens	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)(URB2)
157285	SGK223	Homo sapiens	homolog of rat pragma of Rnd2(SGK223)
55529	TMEM55A	Homo sapiens	transmembrane protein 55A(TMEM55A)
9817	KEAP1	Homo sapiens	kelch like ECH associated protein 1(KEAP1)
84072	HORMAD1	Homo sapiens	HORMA domain containing 1(HORMAD1)
84071	ARMC2	Homo sapiens	armadillo repeat containing 2(ARMC2)
8502	PKP4	Homo sapiens	plakophilin 4(PKP4)
9833	MELK	Homo sapiens	maternal embryonic leucine zipper kinase(MELK)
8500	ppfia1	Homo sapiens	PTPRF interacting protein alpha 1(PPFIA1)
9831	ZNF623	Homo sapiens	zinc finger protein 623(ZNF623)
126119	josd2	Homo sapiens	Josephin domain containing 2(JOSD2)
203	AK1	Homo sapiens	adenylate kinase 1(AK1)
55534	MAML3	Homo sapiens	mastermind like transcriptional coactivator 3(MAML3)
55532	SLC30A10	Homo sapiens	solute carrier family 30 member 10(SLC30A10)
207	AKT1	Homo sapiens	AKT serine/threonine kinase 1(AKT1)
54207	KCNK10	Homo sapiens	potassium two pore domain channel subfamily K member 10(KCNK10)
208	AKT2	Homo sapiens	AKT serine/threonine kinase 2(AKT2)
9824	ARHGAP11A	Homo sapiens	Rho GTPase activating protein 11A(ARHGAP11A)
84074	QRICH2	Homo sapiens	glutamine rich 2(QRICH2)
9827	RGP1	Homo sapiens	RGP1 homolog, RAB6A GEF complex partner 1(RGP1)
196883	ADCY4	Homo sapiens	adenylate cyclase 4(ADCY4)
84075	FSCB	Homo sapiens	fibrous sheath CABYR binding protein(FSCB)
54209	TREM2	Homo sapiens	triggering receptor expressed on myeloid cells 2(TREM2)
9828	ARHGEF17	Homo sapiens	Rho guanine nucleotide exchange factor 17(ARHGEF17)
9840	TESPA1	Homo sapiens	thymocyte expressed, positive selection associated 1(TESPA1)
9843	HEPH	Homo sapiens	hephaestin(HEPH)
9844	ELMO1	Homo sapiens	engulfment and cell motility 1(ELMO1)
9841	ZBTB24	Homo sapiens	zinc finger and BTB domain containing 24(ZBTB24)
9842	PLEKHM1	Homo sapiens	pleckstrin homology and RUN domain containing M1(PLEKHM1)
339834	CCDC36	Homo sapiens	coiled-coil domain containing 36(CCDC36)
54210	TREM1	Homo sapiens	triggering receptor expressed on myeloid cells 1(TREM1)
211	ALAS1	Homo sapiens	5'-aminolevulinate synthase 1(ALAS1)
81832	NETO1	Homo sapiens	neuropilin and tolloid like 1(NETO1)
212	alas2	Homo sapiens	5'-aminolevulinate synthase 2(ALAS2)
114131	UCN3	Homo sapiens	urocortin 3(UCN3)
114132	SIGLEC11	Homo sapiens	sialic acid binding Ig like lectin 11(SIGLEC11)
214	ALCAM	Homo sapiens	activated leukocyte cell adhesion molecule(ALCAM)
215	ABCD1	Homo sapiens	ATP binding cassette subfamily D member 1(ABCD1)
55544	RBM38	Homo sapiens	RNA binding motif protein 38(RBM38)
216	ALDH1A1	Homo sapiens	aldehyde dehydrogenase 1 family member A1(ALDH1A1)
54212	SNTG1	Homo sapiens	syntrophin gamma 1(SNTG1)
127435	PODN	Homo sapiens	podocan(PODN)
217	ALDH2	Homo sapiens	aldehyde dehydrogenase 2 family (mitochondrial)(ALDH2)
8505	PARG	Homo sapiens	poly(ADP-ribose) glycohydrolase(PARG)
9836	lcmt2	Homo sapiens	leucine carboxyl methyltransferase 2(LCMT2)
218	aldh3a1	Homo sapiens	aldehyde dehydrogenase 3 family member A1(ALDH3A1)
9837	GINS1	Homo sapiens	GINS complex subunit 1(GINS1)
219	ALDH1B1	Homo sapiens	aldehyde dehydrogenase 1 family member B1(ALDH1B1)
8503	PIK3R3	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 3(PIK3R3)
8504	PEX3	Homo sapiens	peroxisomal biogenesis factor 3(PEX3)
8509	NDST2	Homo sapiens	N-deacetylase and N-sulfotransferase 2(NDST2)
254428	SLC41A1	Homo sapiens	solute carrier family 41 member 1(SLC41A1)
8507	ENC1	Homo sapiens	ectodermal-neural cortex 1(ENC1)
255758	TCTEX1D2	Homo sapiens	Tctex1 domain containing 2(TCTEX1D2)
8508	NIPSNAP1	Homo sapiens	nipsnap homolog 1 (C. elegans)(NIPSNAP1)
9839	ZEB2	Homo sapiens	zinc finger E-box binding homeobox 2(ZEB2)
8520	HAT1	Homo sapiens	histone acetyltransferase 1(HAT1)
9854	C2CD2L	Homo sapiens	C2CD2 like(C2CD2L)
9855	FARP2	Homo sapiens	FERM, ARH/RhoGEF and pleckstrin domain protein 2(FARP2)
169270	ZNF596	Homo sapiens	zinc finger protein 596(ZNF596)
8521	GCM1	Homo sapiens	glial cells missing homolog 1(GCM1)
9852	EPM2AIP1	Homo sapiens	EPM2A interacting protein 1(EPM2AIP1)
8522	GAS7	Homo sapiens	growth arrest specific 7(GAS7)
221	ALDH3B1	Homo sapiens	aldehyde dehydrogenase 3 family member B1(ALDH3B1)
56886	UGGT1	Homo sapiens	UDP-glucose glycoprotein glucosyltransferase 1(UGGT1)
222	aldh3b2	Homo sapiens	aldehyde dehydrogenase 3 family member B2(ALDH3B2)
223	ALDH9A1	Homo sapiens	aldehyde dehydrogenase 9 family member A1(ALDH9A1)
56888	KCMF1	Homo sapiens	potassium channel modulatory factor 1(KCMF1)
171586	ABHD3	Homo sapiens	abhydrolase domain containing 3(ABHD3)
55556	ENOSF1	Homo sapiens	enolase superfamily member 1(ENOSF1)
56882	CDC42SE1	Homo sapiens	CDC42 small effector 1(CDC42SE1)
226	ALDOA	Homo sapiens	aldolase, fructose-bisphosphate A(ALDOA)
56884	FSTL5	Homo sapiens	follistatin like 5(FSTL5)
8516	ITGA8	Homo sapiens	integrin subunit alpha 8(ITGA8)
229	ALDOB	Homo sapiens	aldolase, fructose-bisphosphate B(ALDOB)
55559	HAUS7	Homo sapiens	HAUS augmin like complex subunit 7(HAUS7)
8514	KCNAB2	Homo sapiens	potassium voltage-gated channel subfamily A regulatory beta subunit 2(KCNAB2)
55558	PLXNA3	Homo sapiens	plexin A3(PLXNA3)
8515	ITGA10	Homo sapiens	integrin subunit alpha 10(ITGA10)
9846	GAB2	Homo sapiens	GRB2 associated binding protein 2(GAB2)
56889	TM9SF3	Homo sapiens	transmembrane 9 superfamily member 3(TM9SF3)
8518	IKBKAP	Homo sapiens	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein(IKBKAP)
9849	ZNF518A	Homo sapiens	zinc finger protein 518A(ZNF518A)
8530	CST7	Homo sapiens	cystatin F(CST7)
